on_date,fii_purchase,fii_sales,fii_net,dii_purchase,dii_sales,dii_net,category
28-Dec-2023,"13,489.78","9,130.79","4,358.99","18,258.20","18,121.56",136.64,cash
27-Dec-2023,"10,654.11","7,728.06","2,926.05","9,136.75","9,328.76",-192.01,cash
26-Dec-2023,"6,174.15","6,269.35",-95.2,"8,830.04","8,663.00",167.04,cash
22-Dec-2023,"10,905.88","13,734.82","-2,828.94","10,332.17","8,165.45","2,166.72",cash
21-Dec-2023,"9,715.29","11,351.48","-1,636.19","9,750.21","8,285.51","1,464.70",cash
20-Dec-2023,"19,190.00","20,512.08","-1,322.08","16,194.18","11,439.84","4,754.34",cash
19-Dec-2023,"11,748.82","12,350.34",-601.52,"8,728.85","8,434.50",294.35,cash
18-Dec-2023,"11,473.54","11,507.05",-33.51,"9,657.75","9,243.87",413.88,cash
15-Dec-2023,"37,677.58","28,438.16","9,239.42","11,300.61","14,378.04","-3,077.43",cash
14-Dec-2023,"21,080.40","17,510.33","3,570.07","12,118.30","11,565.13",553.17,cash
13-Dec-2023,"19,273.27","14,562.41","4,710.86","8,697.17","9,655.66",-958.49,cash
12-Dec-2023,"16,037.09","15,960.23",76.86,"12,206.24","10,282.92","1,923.32",cash
11-Dec-2023,"10,710.66","9,449.53","1,261.13","8,298.69","9,331.61","-1,032.92",cash
08-Dec-2023,"19,329.28","15,696.98","3,632.30","9,533.13","9,967.15",-434.02,cash
07-Dec-2023,"13,934.88","15,498.91","-1,564.03","9,313.11","9,322.77",-9.66,cash
06-Dec-2023,"11,836.42","11,916.30",-79.88,"12,323.18","10,951.00","1,372.18",cash
05-Dec-2023,"17,190.73","11,967.22","5,223.51","11,467.11","12,866.29","-1,399.18",cash
04-Dec-2023,"18,705.23","16,632.02","2,073.21","16,342.00","11,544.85","4,797.15",cash
01-Dec-2023,"10,522.36","8,932.75","1,589.61","11,173.05","9,724.97","1,448.08",cash
30-Nov-2023,"66,830.53","58,682.68","8,147.85","13,944.96","14,725.28",-780.32,cash
29-Nov-2023,"16,041.30","15,969.40",71.9,"10,922.50","8,561.70","2,360.80",cash
28-Nov-2023,"14,474.30","13,690.50",783.8,"8,088.70","6,763.70","1,325.00",cash
24-Nov-2023,"8,833.30","6,208.10","2,625.20","6,090.60","5,956.10",134.5,cash
23-Nov-2023,"7,348.72","7,093.19",255.53,"6,234.47","5,777.08",457.39,cash
22-Nov-2023,"8,111.73","8,418.29",-306.56,"6,749.42","6,028.18",721.24,cash
21-Nov-2023,"10,471.83","10,927.42",-455.59,"6,361.92","5,640.40",721.52,cash
20-Nov-2023,"8,776.18","9,421.90",-645.72,"6,446.83","6,369.06",77.77,cash
17-Nov-2023,"11,557.65","12,035.41",-477.76,"6,849.04","7,414.52",-565.48,cash
16-Nov-2023,"13,546.39","12,589.14",957.25,"6,690.87","5,985.22",705.65,cash
15-Nov-2023,"15,620.95","15,070.76",550.19,"8,165.17","7,555.35",609.82,cash
13-Nov-2023,"5,991.24","7,235.68","-1,244.44","5,613.86","4,783.46",830.4,cash
12-Nov-2023,12.06,202.12,-190.06,120.82,25.51,95.31,cash
10-Nov-2023,"6,583.57","6,845.38",-261.81,"6,239.42","5,416.78",822.64,cash
09-Nov-2023,"7,166.98","8,879.31","-1,712.33","7,930.58","6,418.44","1,512.14",cash
08-Nov-2023,"7,467.02","7,551.57",-84.55,"7,548.90","7,024.43",524.47,cash
07-Nov-2023,"7,580.65","8,077.86",-497.21,"8,596.01","7,895.73",700.28,cash
06-Nov-2023,"7,741.97","8,291.34",-549.37,"8,311.28","7,715.58",595.7,cash
03-Nov-2023,"7,739.00","7,751.43",-12.43,"7,932.73","7,530.04",402.69,cash
02-Nov-2023,"7,857.27","9,118.46","-1,261.19","7,012.69","5,632.54","1,380.15",cash
01-Nov-2023,"6,687.13","8,478.01","-1,790.88",419.95,331.26,88.69,cash
